Name,ID,Element,Min Duration,Max Duration,Stats Modified,Modifier Value,Type,Tick Effect,Tick Power,Stack Type,Effect,Notes,,,,,,,,,,,,,,,,
Distorted Reality,Distorted_Reality,Magic,2,3,"Dex, Agi, Int, AtkC","20, 15, 10, 1,",Buff,,,,,,,,,,,,,,,,,,,,,
Natures Warmth,Natures_Warmth,Nature,Equipment Effect.,Equipment Effect.,"HP.Regen, M.Regen",,Buff,"HoT, MoT",0.05%,,"Health Points, Mana Points, +0.05% Per Turn",,,,,,,,,,,,,,,,,
Earths Blessing,Earth's_Blessing,Earth,6,6,"Def, M.Def, Resist, Barrier","20%, 20%, ",Buff,HoT/Shield,"10%, 20%",,"Resist (Chill, Bleed, Poison), Barrier =20% Max Hp",,,,,,,,,,,,,,,,,Recieve the blessing of the Earth.
Enlightened,Enlightened,Magic,2,3,"M.Atk, M.Def, M.Eva, M.Regen, Resist","20%, 20%, 10%",Buff,MoT,10%,,"Resist (Confusion, Sleep, Fear), Mana Points +10% Per Turn",,,,,,,,,,,,,,,,,
Blade Dance,Blade_Dance,Physical,3,3,"Agi, Atk","8%, 8%",Buff,,,,,,,,,,,,,,,,,,,,,
Defiant,Defiant,Physical,3,3,"Def, M.Def, Ctr.Atk","20%, 20%, 20%",Buff,,,,,,,,,,,,,,,,,,,,,
Sword Heart,Sword_Heart,Physical,2,3,"Agi, Atk, Eva","15%, 15%, 5%",Buff,,,,,,,,,,,,,,,,,,,,,
Butchery,Butchery,Physical,2,3,"Mx.Hp, Def, tk, Crit, Hit","-10%, -10%, 15%, 5%, 5%,",Buff,,,,,,,,,,,,,,,,,,,,,
Rage,Rage,Physical,2,3,"Def, Atk, Crit, Hit","-25%, 30%, 10%, -5%",Buff,,,,,,,,,,,,,,,,,,,,,
Berserking Rage,Berserking_Rage,Physical,2,2,"Def, Atk, Crit, Hit","-60%, 80%, 25%, -10%",Buff,,,,,,,,,,,,,,,,,,,,,
Energized Defense,Energized_Defense,Null Element,3,4,"Def, M.Def","50%, 50%",Buff,,,,,,,,,,,,,,,,,,,,,
Quickened,Quickened,Wind,2,3,"Agi, ",30%,Buff,,,,,,,,,,,,,,,,,,,,,
Double Or Nothing,Double_Or_Nothing,Physical,2,3,"AtkC, Def","1, -15%",Buff,,,,,,,,,,,,,,,,,,,,,
Life Breakers Stance,Life_Breakers_Stance,Null Element,Fight Duration.,Fight Duration.,"Atk, M.Atk, Def, M.Def Hp.Regen, M.Regen","25%, 25%, -10%, -10%",Buff,"HoT, MoT",-5%,,"Health Points, Mana Points, -5% Per turn.",,,,,,,,,,,,,,,,,
Defensive Stance,Defensive_Stance,Physical,Fight Duration.,Fight Duration.,"Def, Atk, Eva","50%, 50%, 5%",Buff,,,,,,,,,,,,,,,,,,,,,
Valiant Stance,Valiant_Stance,Light,Fight Duration.,Fight Duration.,"Atk, M.Atk, Def, M.Def, Crit, Agi, Hp.Regen","-50%, -50%, 15%, 15%, -10%, 10%",Buff,Hot,10%,,"Health Points, +10% Per Turn",,,,,,,,,,,,,,,,,
Sentinel Stance,Sentinel_Stance,Physical,Fight Duration.,Fight Duration.,"Def, M.Def, Ctr.Atk, Hit, Crit, Tp.Regen","10%, 10%, 15%, 10%, 5%",Buff,ToT,10%,,"Tp Points, +10% Per Turn",,,,,,,,,,,,,,,,,
Protector Stance,Protectors_Stance,Physical,Fight Duration.,Fight Duration.,"MX.Hp, Atk, M.Atk, Ctr.Atk, Hit, Luck","500%, -60%, -60%, 5%, 5%, 10%",Buff,ToT,10%,,"Maximum Health is 500%, TP points, +10% Per Turn",,,,,,,,,,,,,,,,,
Guards Ward,Guards_Ward,Null Element,4,4,Barrier,,Buff,Shield,10%,3,Barrier =10% Max Hp,,,,,,,,,,,,,,,,,
Bulwark,Bulwark,Earth,2,3,Barrier,,Buff,Shield,35%,5,Barrier =35% Max Hp,,,,,,,,,,,,,,,,,
Block,Block,Physical,Fight Duration.,Fight Duration.,,Dmg.Reduction 30% Physical,Buff,,,,"Block 30% Physical Attack, Removed On Taking Physical Attack",,,,,,,,,,,,,,,,,
True Block,True_Block,Earth,Fight Duration.,Fight Duration.,,"Dmg.Reduction 30% Physical, Magical",Buff,,,,"Block 100% Physical & Magical Attack, Removed on Taking Physical & Magical Attack",,,,,,,,,,,,,,,,,
Reflectors Focus,Reflectors_Focus,Physical,1,2,,,Buff,,,,Reflect Magical Attack Chance 50%,,,,,,,,,,,,,,,,,
Protectors Riposte,Protectors_Riposte,Wind,1,2,Ctr.Atk,"50%, ",Buff,,,,,,,,,,,,,,,,,,,,,
