Dropped,Rarity
Forest,-
Bark Fragments,Common
Bird feather,Common
Chomper Fillet,Common
Chomper Skin,Common
Chomper Tooth,Common
Crystal Bark,Uncommon
Crystalized Life Fragment,Rare 
Elder moss,Uncommon
Elder Wash Amber,Rare 
Emperors Leafy Crown,Rare 
Goblin coin,Common
Goblin loot bag,Common
Golem Core,Uncommon
Handfull of fish scales,Common
Jagged Hunter Claw,Uncommon
Large swooper feather,Common
Lurker Essence,Uncommon
Lurker Leaf,Common
Mature Wash Blossom,Uncommon
Mature wash vine,Common
Ragged Bird feather,Trash
River Crab Shell,Common
River Elementals Eye,Rare 
Serpent Scale,Common
Slice of Serpent Fish,Common
Squirrelkin Pelt,Common
Treant Elders sapling,Rare 
Venom Sac,Uncommon
Vial Of Serpent Venom,Uncommon
Vine Tendril,Uncommon
Wash Matriarchs Thorn,Rare 
Wash Seed pod,Uncommon
Wash Emperor's root,Rare 
Washling sap,Common
Celestial Tear drop,Rare 
Fragment of Shadow,Rare 
Living Blood flame,Rare 
Vial of demons blood,Uncommon
Mountain area,-
Earth Spirit Geode,Uncommon
Enchanted Stone,Uncommon
Golem Shard,Uncommon
Lynx fang,Common
Lynx Paw,Common
Mountain troll's heart,Uncommon
Pouch of earth dust,Uncommon
Rock Hide Lynx's Third Eye,Rare 
Stone Fragment,Uncommon
Terranite Gem,Rare 
Thunder bird Talon,Rare 
Thunderbird Blood,Rare 
Thunderbird Feather,Rare 
Troll fur,Common
Troll hide,Common
Troll meat,Common
Twisted Bone fragment,Rare 
Wyvern ascension heart,Epic
Wyvern Claw,Rare 
Wyvern scales,Rare 
Wyvern Venom,Rare 
Angel Aura Flame,Epic
Bottled Drop of Holiness,Epic
Contained Holy Fire,Epic
Desert area,-
Sun-Bleached Bones,Common
Desert Rose Crystal,Uncommon
Scorching Sand,Common
Cactus Fiber,Common
Mirage Essence,Rare 
Sunstone,Rare 
Desert Viper Venom,Uncommon
Oasis Water,Uncommon
Volcano,-
Obsidian Shards,Common
Magma Core,Rare 
Volcanic Ash,Common
Brimstone,Uncommon
Blaze Scale,Epic
Salamander Scale,Uncommon
Igneous Crystal,Rare 
Lava Pearl,Epic
Sun-Dried Cactus Fruit,Uncommon
Desert Lizard Tail,Uncommon
Sand Worm Meat,Uncommon
Mirage Pepper,Rare 
Sun Python Eggs,Rare 
Magma Snail Shell,Rare 
Volcanic Ash Mushroom,Uncommon
Inferno Troll Fat,Uncommon
Lava Eel,Rare 
Ancient Power Core,Rare 
Construct Plating,Uncommon
Arcane Circuitry,Rare 
Timeworn Armor Piece,Uncommon
Worn Clockwork Gears,Uncommon
Temporal Essence,Epic
Dragon Scale,Rare 
Corrupted Dragon Heart,Epic
Possessed Spirit Essence,Epic
Dragon's Blood,Rare 
Smoldering Dragon Meat,Rare 
Fallen dynasty ruins,-
Ancient Wrappings,Uncommon
Preserved Organ,Rare 
Mummified Spices,Uncommon
Echoing Ink,Uncommon
Spectral Parchment,Rare 
Forgotten Knowledge Shard,Uncommon
Ethereal Fruit,Rare 
Mark Of Loyalty,Uncommon
Oath-Infused Steel,Uncommon
Golden Idol Fragment,Uncommon
Royal Incense,Rare 
Blessed Honey,Rare 
Fine Silk Scrap,Uncommon
Exotic Spice Blend,Uncommon
Animated Stone,Uncommon
Royal Seal Fragment,Uncommon
Crystal-Infused Mineral,Uncommon
Tarnished Crown Shard,Rare 
Royal Blood Vial,Epic
Prince's Favorite Wine,Rare 
Divine Stone,Rare 
Ancient Essence,Epic
Imperial Shard,Rare 
Fallen Emperor's Tear,Epic
Ambrosia Residue,Epic
Ice field continent,-
Frozen Wyrm Scale,Uncommon
Ice Borer Fang,Uncommon
Chilled Wyrm Meat,Common
Enchanted Ice Shard,Uncommon
Grand Golem Core Fragment,Rare 
Purified Ice Crystal,Uncommon
Frozen Heart Shard,Rare 
Revenant Essence,Uncommon
Spectral Ice Mist,Rare 
Cryohide Pelt,Common
Frost-Tipped Claw,Uncommon
Preserved Frozen Bone,Common
Icy Marrow,Uncommon
Frozen Ectoplasm,Rare 
Hoarfrost-Infused Hide,Common
Hunter's Ice Arrow,Uncommon
Frozen Game Meat,Common
Shaman's Icy Totem,Rare 
Frozen Mana Crystal,Uncommon
Magical Frost Herb,Rare 
Crystallized Blood Drop,Rare 
Frostbite Essence,Uncommon
Frozen Vital Extract,Epic
Glacial Wyrm Scale,Uncommon
Wyrm's Frozen Breath,Rare 
Wyrm Icicle Shaving,Uncommon
Chieftain's Frozen Crown,Rare 
Hoarfrost Runic Stone,Epic
Ancient Frozen Feast,Rare 
Glacius' Fang,Epic
Primal Ice Essence,Epic
Verglas Dragon Scale,Rare 
Dragon's Frozen Tear,Epic
Dragon's Frozen Breath,Rare 
Arch devil citadel,-
Infernal Steel Fragment,Common
Highguard's Emberweave Cloth,Uncommon
Spicy Demon Pepper,Common
Sin-Stained Crystal,Uncommon
Seeker's Dark Essence,Rare 
Forbidden Fruit,Uncommon
Corrupted Soul Shard,Common
Tainted Flesh,Uncommon
Bitter Corruption Root,Rare 
Unholy Symbol,Rare 
Sinful Incense,Uncommon
Damned Delicacy,Uncommon
Imp Horn,Common
Ashwalker's Ember,Uncommon
Spicy Imp Tail,Common
Demon Eater Scale,Rare 
Wyrm's Void Essence,Epic
Demonic Wyrm Meat,Uncommon
Abyssal Spike,Rare 
Hellfire-Forged Metal,Uncommon
Impaler's Spices,Rare 
Soulbound Stone,Uncommon
